Identifier	MapMan	MapManDescription	Localization	GO	GODescription	Synonym
Cre11.g467578	GMM:29.2.1.2.2.28	protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L28		GO:0006412;GO:0005840;GO:0005622;GO:0003735	translation;ribosome;intracellular;structural constituent of ribosome	RPL28
Cre11.g477950	GMM:3.6;GMM:29.4	minor CHO metabolism.callose;protein.postranslational modification	Secretory pathway			
Cre11.g467525				GO:0005515	protein binding	
Cre11.g475150	GMM:31.6.1.8	cell.motility.eukaryotes.flagellar membrane proteins				
Cre11.g467707	GMM:9.9	mitochondrial electron transport / ATP synthesis.F1-ATPase	Mitochondrion	GO:0046961;GO:0046933;GO:0045261;GO:0015986	"proton-transporting ATPase activity, rotational mechanism;proton-transporting ATP synthase activity, rotational mechanism;proton-transporting ATP synthase complex, catalytic core F(1);ATP synthesis coupled proton transport"	ATP4
Cre11.g479250	GMM:30.5;GMM:3.5	signalling.G-proteins;minor CHO metabolism.others	Secretory pathway			
Cre11.g467626	GMM:29.4.1;GMM:29.4	protein.postranslational modification.kinase;protein.postranslational modification	Mitochondrion	GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre11.g481400	GMM:29.4	protein.postranslational modification	Mitochondrion	GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre11.g480000			Chloroplast	GO:0005515	protein binding	
Cre11.g482450						
Cre11.g467793						
Cre11.g467742			Mitochondrion	GO:0008270	zinc ion binding	
Cre11.g469600	GMM:27.3.55	RNA.regulation of transcription.HDA				HDA9
Cre11.g467629	GMM:31.6.1.10;GMM:30.99	cell.motility.eukaryotes.flagellar associated proteins;signalling.unspecified	Mitochondrion			
Cre11.g481104				GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre11.g467530			Chloroplast			
Cre11.g467780			Secretory pathway			
Cre11.g467643						
Cre11.g467552	GMM:4.2.4	glycolysis.plastid branch.phosphofructokinase (PFK)	Mitochondrion	GO:0006096;GO:0003872	glycolytic process;6-phosphofructokinase activity	
Cre11.g479600	GMM:34.21;GMM:34.12	transport.calcium;transport.metal	Secretory pathway	GO:0055085;GO:0016021;GO:0007154	transmembrane transport;integral component of membrane;cell communication	CAX6
Cre11.g478800						
Cre11.g476800	GMM:29.2.1.1.3.2.15	protein.synthesis.ribosomal protein.prokaryotic.unknown organellar.50S subunit.L15	Mitochondrion	GO:0015934;GO:0006412;GO:0003735	large ribosomal subunit;translation;structural constituent of ribosome	MRPL15
Cre11.g467785	GMM:27.3.55	RNA.regulation of transcription.HDA				
Cre11.g467639						
Cre11.g467632			Secretory pathway			
Cre11.g467703						
Cre11.g467689	GMM:1.1.3	PS.lightreaction.cytochrome b6/f	Chloroplast	GO:0055114;GO:0051537;GO:0042651;GO:0016679;GO:0016491;GO:0009496	"oxidation-reduction process;2 iron, 2 sulfur cluster binding;thylakoid membrane;oxidoreductase activity, acting on diphenols and related substances as donors;oxidoreductase activity;plastoquinol--plastocyanin reductase activity"	PETC
Cre11.g474750			Secretory pathway	GO:0016757;GO:0016021	"transferase activity, transferring glycosyl groups;integral component of membrane"	
Cre11.g467600						
Cre11.g479950	GMM:34.2	transport.sugars	Secretory pathway			CGL7
Cre11.g467500						
Cre11.g478000			Chloroplast			
Cre11.g469350			Mitochondrion	GO:0006464	cellular protein modification process	TTL12
Cre11.g482650			Mitochondrion			EZY3
Cre11.g468362						
Cre11.g467722						
Cre11.g467675			Chloroplast			
Cre11.g478240	GMM:30.11.1	signalling.light.COP9 signalosome		GO:0005515	protein binding	
Cre11.g467850	GMM:11.3	lipid metabolism.phospholipid synthesis		GO:0016746;GO:0008152;GO:0006644	"transferase activity, transferring acyl groups;metabolic process;phospholipid metabolic process"	PGA6
Cre11.g483100	GMM:30.6;GMM:29.4.1;GMM:29.4	signalling.MAP kinases;protein.postranslational modification.kinase;protein.postranslational modification		GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre11.g467769			Chloroplast			
Cre11.g474800	GMM:19.3;GMM:13.2.2.3;GMM:13.1.2.2.10	tetrapyrrole synthesis.GSA;amino acid metabolism.degradation.glutamate family.arginine;amino acid metabolism.synthesis.glutamate family.proline.ornithine aminotransferase	Mitochondrion	GO:0030170;GO:0008483	pyridoxal phosphate binding;transaminase activity	OTA1
Cre11.g467548			Secretory pathway			
Cre11.g467716			Chloroplast			
Cre11.g467776			Mitochondrion			
Cre11.g480900						
Cre11.g467538	GMM:24	biodegradation of xenobiotics	Secretory pathway			GOX8
Cre11.g475800			Mitochondrion			
Cre11.g481375						
Cre11.g476200				GO:0046872	metal ion binding	
Cre11.g483351			Secretory pathway			PHC44
Cre11.g480725			Chloroplast			
Cre11.g467540	GMM:24	biodegradation of xenobiotics	Secretory pathway			GOX7
Cre11.g476500	GMM:29.3.3	protein.targeting.chloroplast	Mitochondrion	GO:0055114;GO:0051537;GO:0016491;GO:0010277	"oxidation-reduction process;2 iron, 2 sulfur cluster binding;oxidoreductase activity;chlorophyllide a oxygenase [overall] activity"	
Cre11.g475550						UMM10
Cre11.g468200			Secretory pathway			
Cre11.g477100						FAP97
Cre11.g479300	GMM:27.3.44	RNA.regulation of transcription.chromatin remodeling factors	Chloroplast	GO:0046872;GO:0005524	metal ion binding;ATP binding	
Cre11.g467661						
Cre11.g467768	GMM:27.3.57	RNA.regulation of transcription.JUMONJI family				
Cre11.g467734						
Cre11.g467563			Mitochondrion			
Cre11.g469033			Mitochondrion			
Cre11.g467576						
Cre11.g467662			Secretory pathway			
Cre11.g482050						
Cre11.g481650			Chloroplast			
Cre11.g481866	GMM:31.1	cell.organisation	Secretory pathway			
Cre11.g475400			Secretory pathway	GO:0005515	protein binding	
Cre11.g468353			Chloroplast	GO:0008076;GO:0006813;GO:0005249	voltage-gated potassium channel complex;potassium ion transport;voltage-gated potassium channel activity	
Cre11.g476300						
Cre11.g467764	GMM:11.9.3.2	lipid metabolism.lipid degradation.lysophospholipases.carboxylesterase				
Cre11.g467754	GMM:29.7	protein.glycosylation	Secretory pathway			
Cre11.g478128	GMM:34.16	transport.ABC transporters and multidrug resistance systems		GO:0016887;GO:0005524	ATPase activity;ATP binding	
Cre11.g467577	GMM:27.3.24	RNA.regulation of transcription.MADS box transcription factor family		GO:0046983;GO:0003677	protein dimerization activity;DNA binding	
Cre11.g467555				GO:0005515	protein binding	
Cre11.g467526	GMM:26.24	misc.GCN5-related N-acetyltransferase	Chloroplast	GO:0008080	N-acetyltransferase activity	
Cre11.g467659				GO:0016592;GO:0006357;GO:0001104	mediator complex;regulation of transcription from RNA polymerase II promoter;RNA polymerase II transcription cofactor activity	
Cre11.g467400			Chloroplast			
Cre11.g467781	GMM:34.16;GMM:29.2.2.1	transport.ABC transporters and multidrug resistance systems;protein.synthesis.ribosome biogenesis.export from nucleus		GO:0016887;GO:0005524	ATPase activity;ATP binding	FAP151
Cre11.g482700			Chloroplast			
Cre11.g467619			Chloroplast			
Cre11.g467683			Secretory pathway			
Cre11.g467539	GMM:24	biodegradation of xenobiotics	Secretory pathway			GOX6
Cre11.g469450				GO:0005737;GO:0005634	cytoplasm;nucleus	CGL124
Cre11.g467739				GO:0008017	microtubule binding	IFT54
Cre11.g467586	GMM:29.4	protein.postranslational modification	Chloroplast	GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre11.g467545						
Cre11.g480451	GMM:1.5	PS.carbon concentrating mechanism	Secretory pathway			PHC42
Cre11.g480800				GO:0032040	small-subunit processome	
Cre11.g467638	GMM:2.1	major CHO metabolism.synthesis	Secretory pathway			
Cre11.g475900	GMM:28.1	DNA.synthesis/chromatin structure				
Cre11.g479900			Mitochondrion			
Cre11.g467650	GMM:27.1	RNA.processing				
Cre11.g467772	GMM:31.3	cell.cycle	Mitochondrion			CYCD1
Cre11.g467593	GMM:35.1.19;GMM:3.3	not assigned.no ontology.C2 domain-containing protein;minor CHO metabolism.sugar alcohols		GO:0005515	protein binding	
Cre11.g467598						
Cre11.g467695						
Cre11.g477200	GMM:16.8.5.1	secondary metabolism.flavonoids.isoflavonols.isoflavone reductase		GO:0050662;GO:0003824	coenzyme binding;catalytic activity	IFR1
Cre11.g468377	GMM:30.5;GMM:3.5	signalling.G-proteins;minor CHO metabolism.others		GO:0005515	protein binding	
Cre11.g472226	GMM:20.2.3	stress.abiotic.drought/salt				
Cre11.g468550	GMM:34.1	transport.p- and v-ATPases		GO:0016820;GO:0016471;GO:0015992	"hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances;vacuolar proton-transporting V-type ATPase complex;proton transport"	ATPVG
Cre11.g482750						
Cre11.g467568	GMM:29.4	protein.postranslational modification		GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre11.g468380						
Cre11.g467610	GMM:30.5;GMM:3.5	signalling.G-proteins;minor CHO metabolism.others		GO:0005525;GO:0003924	GTP binding;GTPase activity	
Cre11.g467547	GMM:29.1.18;GMM:29.1.17;GMM:19.1	protein.aa activation.glutamine-tRNA ligase;protein.aa activation.glutamate-tRNA ligase;tetrapyrrole synthesis.glu-tRNA synthetase	Secretory pathway	GO:0043039;GO:0016876;GO:0006418;GO:0005737;GO:0005524;GO:0004812;GO:0000166	"tRNA aminoacylation;ligase activity, forming aminoacyl-tRNA and related compounds;tRNA aminoacylation for protein translation;cytoplasm;ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding"	
Cre11.g481126	GMM:21.99	redox.misc	Mitochondrion	GO:0055114;GO:0016491	oxidation-reduction process;oxidoreductase activity	
Cre11.g467690				GO:0005515	protein binding	
Cre11.g467559						
Cre11.g480300			Mitochondrion			
Cre11.g468100	GMM:30.1.1	signalling.in sugar and nutrient physiology.misc	Secretory pathway	GO:0007165;GO:0004114	"signal transduction;3',5'-cyclic-nucleotide phosphodiesterase activity"	PDE30
Cre11.g478950	GMM:27.1.1	RNA.processing.splicing	Chloroplast	GO:0032040;GO:0006364	small-subunit processome;rRNA processing	
Cre11.g467779	GMM:29.7.8;GMM:29.7.5	"protein.glycosylation.alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (GnTII);protein.glycosylation.alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (GnTI)"	Secretory pathway	GO:0005975;GO:0004553	"carbohydrate metabolic process;hydrolase activity, hydrolyzing O-glycosyl compounds"	
Cre11.g467790			Secretory pathway			
Cre11.g467533	GMM:29.4	protein.postranslational modification	Chloroplast			
Cre11.g467671			Secretory pathway			
Cre11.g483301						
Cre11.g467723	GMM:11.1.3	lipid metabolism.FA synthesis and FA elongation.ketoacyl ACP synthase	Chloroplast			KAS1
Cre11.g468000			Secretory pathway			
Cre11.g467676			Mitochondrion			
Cre11.g476376			Chloroplast			FAP221
Cre11.g467585				GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre11.g467685						
Cre11.g479416	GMM:26.16	misc.myrosinases-lectin-jacalin				
Cre11.g480950			Secretory pathway			
Cre11.g467747			Chloroplast			
Cre11.g467527	GMM:26.10;GMM:26.1	misc.cytochrome P450;misc.misc2		GO:0055114;GO:0020037;GO:0016705;GO:0005506	"oxidation-reduction process;heme binding;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;iron ion binding"	
Cre11.g467684						
Cre11.g467673	GMM:30.1.1	signalling.in sugar and nutrient physiology.misc	Mitochondrion	GO:0007165;GO:0004114	"signal transduction;3',5'-cyclic-nucleotide phosphodiesterase activity"	PDE24
Cre11.g467450				GO:0032259;GO:0008168	methylation;methyltransferase activity	SOM3
Cre11.g467791						
Cre11.g467721			Secretory pathway			
Cre11.g478528			Mitochondrion			
Cre11.g481750			Secretory pathway			GAS30
Cre11.g475350			Mitochondrion	GO:0051536;GO:0016226;GO:0005737	iron-sulfur cluster binding;iron-sulfur cluster assembly;cytoplasm	
Cre11.g467767	GMM:9.1.2;GMM:9.1.1	mitochondrial electron transport / ATP synthesis.NADH-DH (type I).localisation not clear;mitochondrial electron transport / ATP synthesis.NADH-DH (type I).complex I		GO:0016020;GO:0009055;GO:0008137	membrane;electron carrier activity;NADH dehydrogenase (ubiquinone) activity	NUO13
Cre11.g467562						
Cre11.g467628						
Cre11.g467688	GMM:26.1;GMM:23.2;GMM:17.1.1.1.12;GMM:17.1.1	misc.misc2;nucleotide metabolism.degradation;hormone metabolism.abscisic acid.synthesis-degradation.synthesis.abscisic aldehyde oxidase;hormone metabolism.abscisic acid.synthesis-degradation		GO:0055114;GO:0051536;GO:0046872;GO:0016491;GO:0009055	oxidation-reduction process;iron-sulfur cluster binding;metal ion binding;oxidoreductase activity;electron carrier activity	
Cre11.g474950	GMM:11.9.2	lipid metabolism.lipid degradation.lipases	Secretory pathway			
Cre11.g479450			Secretory pathway			
Cre11.g467620						
Cre11.g467658			Chloroplast			
Cre11.g467733						
Cre11.g467782						
Cre11.g469100			Chloroplast			
Cre11.g467633	GMM:15.2	"metal handling.binding, chelation and storage"	Chloroplast	GO:0051539;GO:0051536;GO:0009451;GO:0003824	"4 iron, 4 sulfur cluster binding;iron-sulfur cluster binding;RNA modification;catalytic activity"	
Cre11.g475576						
Cre11.g467575	GMM:29.6.2.5;GMM:29.5.5;GMM:20.2.1	protein.folding.chaperones and co-chaperones.HSP100s;protein.degradation.serine protease;stress.abiotic.heat	Mitochondrion	GO:0016887;GO:0005524	ATPase activity;ATP binding	CLPB4
Cre11.g482200						FBB9
Cre11.g468075						
Cre11.g467611			Mitochondrion			
Cre11.g469400	GMM:31.9	cell.eyespot		GO:0000160	phosphorelay signal transduction system	HKR4
Cre11.g478156	GMM:31.4	cell.vesicle transport		GO:0030131;GO:0016192;GO:0006886	clathrin adaptor complex;vesicle-mediated transport;intracellular protein transport	AP1B1
Cre11.g479850	GMM:31.3.1;GMM:31.3;GMM:29.6.3.2	cell.cycle.peptidylprolyl isomerase;cell.cycle;protein.folding.immunophilins (IMM).cyclophilins		GO:0006457;GO:0003755;GO:0003676;GO:0000413	protein folding;peptidyl-prolyl cis-trans isomerase activity;nucleic acid binding;protein peptidyl-prolyl isomerization	CYN59
Cre11.g467558						
Cre11.g467554				GO:0016021;GO:0004252	integral component of membrane;serine-type endopeptidase activity	
Cre11.g475850	GMM:29.6;GMM:1.1.2.3	protein.folding;PS.lightreaction.photosystem I.biogenesis	Chloroplast.Stroma.Thylakoid.Lumen			ZNJ1
Cre11.g467569	GMM:1.1.4.7;GMM:1.1.4	PS.lightreaction.ATP synthase.delta chain;PS.lightreaction.ATP synthase	Chloroplast	GO:0046933;GO:0015986	"proton-transporting ATP synthase activity, rotational mechanism;ATP synthesis coupled proton transport"	ATPD
Cre11.g467587						
Cre11.g467771						
Cre11.g474650						
Cre11.g476100			Mitochondrion			MCD1
Cre11.g478966	GMM:27.1.1	RNA.processing.splicing		GO:0032040;GO:0006364	small-subunit processome;rRNA processing	
Cre11.g468383			Chloroplast			
Cre11.g468500	GMM:26.13	misc.acid and other phosphatases	Secretory pathway	GO:0016787	hydrolase activity	MPA8
Cre11.g467719			Mitochondrion			
Cre11.g467787						
Cre11.g482800	GMM:29.4.1	protein.postranslational modification.kinase	Mitochondrion	GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre11.g480650	GMM:33.99;GMM:26.22	development.unspecified;misc.short chain dehydrogenase/reductase (SDR)		GO:0016491;GO:0008152	oxidoreductase activity;metabolic process	
Cre11.g467604						
Cre11.g467741			Chloroplast			
Cre11.g467570			Mitochondrion			
Cre11.g477400	GMM:27.3.5;GMM:23.1.2	RNA.regulation of transcription.ARR;nucleotide metabolism.synthesis.purine	Secretory pathway	GO:0035556;GO:0016849;GO:0009190;GO:0000160	intracellular signal transduction;phosphorus-oxygen lyase activity;cyclic nucleotide biosynthetic process;phosphorelay signal transduction system	CYG43
Cre11.g481313			Secretory pathway			
Cre11.g467660	GMM:26.2	misc.UDP glucosyl and glucoronyl transferases	Secretory pathway			ELG17
Cre11.g467691			Secretory pathway			
Cre11.g476325	GMM:4.1.15	glycolysis.cytosolic branch.phospho-enol-pyruvate carboxylase (PEPC)	Chloroplast	GO:0015977;GO:0008964;GO:0006099	carbon fixation;phosphoenolpyruvate carboxylase activity;tricarboxylic acid cycle	
Cre11.g469650			Secretory pathway			
Cre11.g477450	GMM:29.4.1	protein.postranslational modification.kinase		GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre11.g467748			Mitochondrion			
Cre11.g467774			Secretory pathway			
Cre11.g467603			Chloroplast			
Cre11.g480551						
Cre11.g467724			Mitochondrion			
Cre11.g467645						
Cre11.g467669						
Cre11.g467534						
Cre11.g482550			Mitochondrion			
Cre11.g467694			Chloroplast			
Cre11.g467612	GMM:9.99	mitochondrial electron transport / ATP synthesis.unspecified	Chloroplast	GO:0008168;GO:0008152	methyltransferase activity;metabolic process	
Cre11.g467755	GMM:30.11;GMM:26.22	signalling.light;misc.short chain dehydrogenase/reductase (SDR)				
Cre11.g467592	GMM:34.3	transport.amino acids		GO:0016020;GO:0015171;GO:0003333	membrane;amino acid transmembrane transporter activity;amino acid transmembrane transport	
Cre11.g476600			Secretory pathway	GO:0055114;GO:0050660;GO:0016491	oxidation-reduction process;flavin adenine dinucleotide binding;oxidoreductase activity	
Cre11.g476450			Mitochondrion	GO:0008168	methyltransferase activity	
Cre11.g483000	GMM:30.6;GMM:29.4.1;GMM:29.4	signalling.MAP kinases;protein.postranslational modification.kinase;protein.postranslational modification		GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre11.g467697						
Cre11.g479500	GMM:29.2.1.1.1.2.4	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L4	Chloroplast	GO:0006412;GO:0005840;GO:0003735	translation;ribosome;structural constituent of ribosome	PRPL4
Cre11.g467566						
Cre11.g482300	GMM:31.6.1.11	cell.motility.eukaryotes.other		GO:0005515	protein binding	FAP305
Cre11.g467614			Secretory pathway			
Cre11.g478184			Secretory pathway	GO:0046355;GO:0004567	mannan catabolic process;beta-mannosidase activity	
Cre11.g467783						
Cre11.g467636	GMM:29.4.1.57;GMM:29.4	protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII;protein.postranslational modification	Secretory pathway	GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre11.g467726			Mitochondrion	GO:0016021;GO:0006869;GO:0005319	integral component of membrane;lipid transport;lipid transporter activity	
